sno,user_id,post_id
74535,66,4616
74536,66,2518
74538,66,4613
74541,66,4608
74544,66,4612
74548,66,3701
74553,66,3712
74556,66,1328
74558,66,1326
74561,66,4615
74563,66,4617
74565,66,3689
74567,66,3706
74568,66,2422
74569,66,2516
73363,65,4616
73364,65,3709
73365,65,4617
73367,65,2455
73368,65,4613
73370,65,4617
73371,65,4611
73373,65,4612
73374,65,1326
73375,65,4614
73232,64,3704
73233,64,1333
73235,64,1334
73236,64,1335
73237,64,1326
73238,64,1327
73239,64,1328
73240,64,1331
73241,64,1332
73242,64,1317
73243,64,1319
73244,64,1320
73154,63,4617
73155,63,4615
73156,63,4611
73157,63,4616
73158,63,4612
73064,61,3708
73065,61,4612
73066,61,4614
72930,60,1335
72938,60,4617
72906,58,2515
72907,58,2516
72908,58,2515
72909,58,2517
72910,58,2518
72911,58,4616
72912,58,4612
72903,57,2518
72904,57,2519
72905,57,4613
72878,56,4617
72879,56,4616
72880,56,4617
72881,56,4612
72882,56,4613
72883,56,4614
72884,56,4615
72885,56,1329
72886,56,1326
72887,56,1327
72888,56,1328
72889,56,1331
72890,56,1334
72891,56,1335
72892,56,1326
72893,56,3713
72894,56,3710
72895,56,3711
72896,56,3712
72897,56,3701
72898,56,3702
72899,56,3703
72900,56,3694
72871,54,4617
72872,54,4615
72873,54,4616
72874,54,4614
72875,54,4613
70552,51,4617
70553,51,4616
70554,51,4615
70555,51,4614
70556,51,4613
70557,51,2516
70558,51,2517
70559,51,1330
70560,51,1331
70380,48,4613
70381,48,4616
70382,48,4612
70383,48,4609
70384,48,4610
70277,47,1278
70278,47,1272
70279,47,1276
70280,47,1253
70281,47,1239
70282,47,1242
70283,47,1249
70261,46,2516
70273,46,1328
70274,46,1319
70275,46,1302
70260,45,4615
70263,45,4613
70264,45,3701
70265,45,1326
70266,45,1328
70267,45,1330
70268,45,3713
70269,45,3704
70271,45,3711
70272,45,4612
69855,43,3713
69856,43,1326
69883,43,4616
70413,41,4617
70414,41,4613
70415,41,1328
67855,40,1327
67856,40,1328
67814,37,3707
67815,37,1333
67816,37,1326
67817,37,2520
67819,37,2519
67795,36,2495
67799,36,1333
67800,36,4613
67801,36,4615
67802,36,3713
67803,36,3704
67804,36,3696
67805,36,3701
67703,33,2498
67609,31,4615
67610,31,4612
67611,31,4603
67613,31,4604
67614,31,4591
67617,31,4577
67619,31,4568
67623,31,4570
67689,31,4573
67721,31,4556
67597,30,3701
38779,23,3665
67487,23,3678
67489,23,3713
70259,23,228
38685,22,2517
38686,22,2517
38684,21,2515
39170,21,4617
39171,21,3713
39172,21,1334
39173,21,1327
39174,21,1330
39175,21,2517
39176,21,2519
38683,20,1326
32567,19,4612
32568,19,1330
32569,19,1328
32570,19,3711
32571,19,2517
32572,19,2516
32573,19,2520
32574,19,2519
70505,18,2517
70506,18,2517
70507,18,2517
14935,17,4617
14936,17,4616
14937,17,4615
14938,17,4614
14939,17,4613
14940,17,4612
14941,17,4610
10956,15,4616
10957,15,4615
9447,8,4519
9448,8,4613
9449,8,4614
9450,8,4615
9451,8,4616
9452,8,4612
9453,8,4617
9454,8,4616
9455,8,4615
9456,8,4603
9457,8,4613
9458,8,4612
9459,8,4617
9460,8,1328
9461,8,1333
9462,8,1332
9463,8,1330
9464,8,1331
9465,8,4596
9466,8,4584
9467,8,4587
9468,8,4589
9469,8,4593
9470,8,4581
9471,8,4577
9472,8,4570
9473,8,4563
9474,8,4567
9475,8,4559
9476,8,4555
9478,8,4550
9479,8,4535
9480,8,4613
9481,8,4604
9482,8,4609
9483,8,2518
9484,8,2511
9485,8,4612
9486,8,4611
9442,7,2517
9444,7,2520
9445,7,4615
67586,7,4612
67587,7,3713
67588,7,3703
67589,7,3708
67590,7,3713
67591,7,3701
67592,7,1332
256,1,2519
255,1,3713
254,1,1328
396,0,4547
