user_id,post_id
67,4617
67,4617
67,4616
67,4615
67,4612
67,4611
66,4617
66,4616
66,4615
66,4613
66,4612
66,4608
66,3712
66,3706
66,3701
66,3689
66,2518
66,2516
66,2422
66,1328
66,1326
65,4617
65,4617
65,4616
65,4614
65,4613
65,4612
65,4611
65,3709
65,2455
65,1326
64,3704
64,1335
64,1334
64,1333
64,1332
64,1331
64,1328
64,1327
64,1326
64,1320
64,1319
64,1317
63,4617
63,4616
63,4615
63,4612
63,4611
61,4614
61,4612
61,3708
60,4617
60,1335
58,4616
58,4612
58,2518
58,2517
58,2516
58,2515
58,2515
57,4613
57,2519
57,2518
56,4617
56,4617
56,4616
56,4615
56,4614
56,4613
56,4612
56,3713
56,3712
56,3711
56,3710
56,3703
56,3702
56,3701
56,3694
56,1335
56,1334
56,1331
56,1329
56,1328
56,1327
56,1326
56,1326
54,4617
54,4616
54,4615
54,4614
54,4613
51,4617
51,4616
51,4615
51,4614
51,4613
51,2517
51,2516
51,1331
51,1330
48,4616
48,4613
48,4612
48,4610
48,4609
47,1278
47,1276
47,1272
47,1253
47,1249
47,1242
47,1239
46,2516
46,1328
46,1319
46,1302
45,4615
45,4613
45,4612
45,3713
45,3711
45,3704
45,3701
45,1330
45,1328
45,1326
43,4616
43,3713
43,1326
41,4617
41,4613
41,1328
40,1328
40,1327
37,3707
37,2520
37,2519
37,1333
37,1326
36,4615
36,4613
36,3713
36,3704
36,3701
36,3696
36,2495
36,1333
33,2498
31,4615
31,4612
31,4604
31,4603
31,4591
31,4577
31,4573
31,4570
31,4568
31,4556
30,3701
23,3713
23,3678
23,3665
23,228
22,2517
22,2517
21,4617
21,3713
21,2519
21,2517
21,2515
21,1334
21,1330
21,1327
20,1326
19,4612
19,3711
19,2520
19,2519
19,2517
19,2516
19,1330
19,1328
18,2517
18,2517
18,2517
17,4617
17,4616
17,4615
17,4614
17,4613
17,4612
17,4610
15,4616
15,4615
8,4617
8,4617
8,4616
8,4616
8,4615
8,4615
8,4614
8,4613
8,4613
8,4613
8,4612
8,4612
8,4612
8,4611
8,4609
8,4604
8,4603
8,4596
8,4593
8,4589
8,4587
8,4584
8,4581
8,4577
8,4570
8,4567
8,4563
8,4559
8,4555
8,4550
8,4535
8,4519
8,2518
8,2511
8,1333
8,1332
8,1331
8,1330
8,1328
7,4615
7,4612
7,3713
7,3713
7,3708
7,3703
7,3701
7,2520
7,2517
7,1332
1,3713
1,2519
1,1328
